State,Population,Pop_Growth,Poverty_Rate,Total_Tax
Alabama,4888949,0.29,19.20,7.24
Alaska,738068,-0.23,11.40,4.94
Arizona,7123898,1.53,18.20,8.21
Arkansas,3020327,0.53,18.70,8.99
California,39776830,0.61,16.40,9.57
Colorado,5684203,1.37,12.10,8.1
Connecticut,3588683,0.01,10.80,10.19
Delaware,971180,0.96,13.00,5.68
Florida,21312211,1.56,16.60,6.64
Georgia,10545138,1.11,18.40,8.09
Hawaii,1426393,-0.08,11.50,11.57
Idaho,1753860,2.15,14.80,7.87
Illinois,12768320,-0.26,14.30,10.08
Indiana,6699629,0.49,15.20,8.56
Iowa,3160553,0.47,12.30,9.32
Kansas,2918515,0.19,13.50,8.54
Kentucky,4472265,0.41,19.00,8.79
Louisiana,4682509,-0.04,19.90,8.43
Maine,1341582,0.42,14.00,11.02
Maryland,6079602,0.45,10.40,9.45
Massachusetts,6895917,0.53,11.70,9.03
Michigan,9991177,0.29,16.20,8.53
Minnesota,5628162,0.92,11.40,10.37
Mississippi,2982785,-0.04,21.90,9.32
Missouri,6135888,0.37,15.50,7.95
Montana,1062330,1.13,15.20,7.64
Nebraska,1932549,0.65,12.30,9.17
Nevada,3056824,1.96,15.40,8.21
New Hampshire,1350575,0.58,9.20,7.07
New Jersey,9032872,0.30,11.10,10.02
New Mexico,2090708,0.13,20.60,8.94
New York,19862512,0.07,15.90,13.04
North Carolina,10390149,1.14,17.20,8.32
North Dakota,755238,-0.02,11.10,8.69
Ohio,11694664,0.31,15.80,9.48
Oklahoma,3940521,0.25,16.60,7.17
Oregon,4199563,1.37,16.40,8.38
Pennsylvania,12823989,0.14,13.60,8.66
Rhode Island,1061712,0.20,14.80,10.14
South Carolina,5088916,1.28,17.90,7.88
South Dakota,877790,0.93,14.10,7.22
Tennessee,6782564,0.99,18.20,6.47
Texas,28704330,1.41,17.20,8.15
Utah,3159345,1.85,11.80,8.36
Vermont,623960,0.05,12.20,10.94
Virginia,8525660,0.66,11.80,7.77
Washington,7530552,1.69,13.20,8.15
West Virginia,1803077,-0.70,18.30,9.4
Wisconsin,5818049,0.39,13.20,9.26
Wyoming,573720,-0.97,10.60,8.03
